,Date,Open*,High,Low,Close**,Volume,Market Cap
0,"Oct 28, 2019",9565.10,9805.12,9256.15,9256.15,"30,948,255,332","166,777,392,742"
1,"Oct 27, 2019",9241.71,9749.53,9112.54,9551.71,"32,593,129,501","172,087,039,875"
2,"Oct 26, 2019",8667.58,10021.74,8662.62,9244.97,"44,496,255,609","166,547,360,782"
3,"Oct 25, 2019",7490.70,8691.54,7479.98,8660.70,"28,705,065,488","156,006,603,607"
4,"Oct 24, 2019",7509.73,7532.87,7446.99,7493.49,"16,268,708,849","134,968,410,276"
5,"Oct 23, 2019",8076.23,8093.00,7469.32,7514.67,"21,942,878,958","135,337,364,282"
6,"Oct 22, 2019",8243.40,8296.65,8074.46,8078.20,"16,803,377,857","145,469,660,005"
7,"Oct 21, 2019",8225.12,8296.69,8196.42,8243.72,"15,868,748,866","148,432,733,155"
8,"Oct 20, 2019",7997.81,8281.82,7949.44,8222.08,"15,504,249,442","148,026,597,064"
9,"Oct 19, 2019",7973.80,8082.63,7944.78,7988.56,"13,797,825,640","143,808,163,807"
10,"Oct 18, 2019",8100.93,8138.41,7902.16,7973.21,"15,651,592,610","143,517,630,376"
11,"Oct 17, 2019",8047.81,8134.83,8000.94,8103.91,"14,313,052,244","145,853,994,298"
12,"Oct 16, 2019",8204.67,8216.81,7985.09,8047.53,"16,071,646,996","144,823,993,562"
13,"Oct 15, 2019",8373.46,8410.71,8182.71,8205.37,"15,220,412,632","147,650,082,215"
14,"Oct 14, 2019",8320.83,8390.21,8284.13,8374.69,"15,151,387,859","150,680,499,056"
15,"Oct 13, 2019",8336.90,8470.99,8276.61,8321.01,"13,808,286,059","149,700,817,939"
16,"Oct 12, 2019",8315.66,8415.24,8313.34,8336.56,"14,532,641,605","149,965,767,624"
17,"Oct 11, 2019",8585.26,8721.78,8316.18,8321.76,"19,604,381,101","149,685,618,275"
18,"Oct 10, 2019",8585.28,8625.27,8471.93,8586.47,"17,618,660,671","154,430,515,160"
19,"Oct 09, 2019",8229.84,8627.71,8169.30,8595.74,"19,384,942,333","154,579,656,110"
20,"Oct 08, 2019",8246.85,8332.72,8185.76,8228.78,"15,592,264,032","147,966,069,982"
21,"Oct 07, 2019",7989.12,8308.45,7905.77,8245.62,"18,009,742,607","148,252,589,805"
22,"Oct 06, 2019",8149.88,8161.41,7958.85,7988.16,"13,160,830,305","143,607,672,862"
23,"Oct 05, 2019",8210.15,8215.53,8071.12,8151.50,"12,200,497,197","146,529,229,668"
24,"Oct 04, 2019",8259.49,8260.06,8151.24,8205.94,"13,139,456,229","147,491,804,056"
25,"Oct 03, 2019",8390.77,8414.23,8146.44,8259.99,"13,668,823,409","148,448,162,840"
26,"Oct 02, 2019",8344.21,8393.04,8227.70,8393.04,"13,125,712,443","150,823,797,662"
27,"Oct 01, 2019",8299.72,8497.69,8232.68,8343.28,"15,305,343,413","149,913,972,768"
28,"Sep 30, 2019",8104.23,8314.23,7830.76,8293.87,"17,115,474,183","149,011,567,415"
29,"Sep 29, 2019",8246.04,8261.71,7990.50,8104.19,"13,034,629,109","145,590,374,681"
